Combination Name,algorithm,train_split,test_split,lambda,k,MAE,RMSE,Precision,Recall
"Name_k_faction_sim_Split_(0.9, 0.1)_K_40_Lambda_0.4",k_faction_sim,0.9,0.1,0.4,40,0.8113080892970803,1.030063135523516,0.59150401836969,0.6942970605815497
"Name_cn_sim_Split_(0.9, 0.1)_K_40_Lambda_0.4",cn_sim,0.9,0.1,0.4,40,0.782385101112834,0.9898687016730505,0.6041331802525833,0.7046035557840181
"Name_k_faction_sim_Split_(0.9, 0.1)_K_40_Lambda_0.5",k_faction_sim,0.9,0.1,0.5,40,0.812510439197344,1.0312538114681469,0.5908151549942595,0.6940694312581784
"Name_cn_sim_Split_(0.9, 0.1)_K_40_Lambda_0.5",cn_sim,0.9,0.1,0.5,40,0.7843893424894236,0.991630597535662,0.6036739380022962,0.7029421739648966
"Name_KNN-Cosine_Split_(0.9, 0.1)_K_40",KNN-Cosine,0.9,0.1,N/A,40,0.764315489729234,0.9669216601854508,0.6140068886337544,0.7136585201203474
"Name_KNN-Pearson_Split_(0.9, 0.1)_K_40",KNN-Pearson,0.9,0.1,N/A,40,0.7518541497901754,0.9598169438528805,0.6117106773823191,0.7093197219938809
"Name_k_faction_sim_Split_(0.9, 0.1)_K_50_Lambda_0.1",k_faction_sim,0.9,0.1,0.1,50,0.809751756404263,1.029472916891933,0.5919632606199771,0.6929286947070203
"Name_cn_sim_Split_(0.9, 0.1)_K_50_Lambda_0.1",cn_sim,0.9,0.1,0.1,50,0.7790235182995089,0.9877031964384368,0.607577497129736,0.7042212047456607
"Name_k_faction_sim_Split_(0.9, 0.1)_K_50_Lambda_0.2",k_faction_sim,0.9,0.1,0.2,50,0.8098912225101165,1.0292010268917617,0.5912743972445464,0.6933765662548872
"Name_cn_sim_Split_(0.9, 0.1)_K_50_Lambda_0.2",cn_sim,0.9,0.1,0.2,50,0.7801255140710804,0.988219809831565,0.6064293915040184,0.7056869953612535
"Name_k_faction_sim_Split_(0.9, 0.1)_K_50_Lambda_0.3",k_faction_sim,0.9,0.1,0.3,50,0.8106554208537866,1.0296813509993363,0.5917336394948336,0.6943141353418114
"Name_cn_sim_Split_(0.9, 0.1)_K_50_Lambda_0.3",cn_sim,0.9,0.1,0.3,50,0.7817038061865129,0.9893945639639241,0.6057405281285878,0.7052699616584427
"Name_k_faction_sim_Split_(0.9, 0.1)_K_50_Lambda_0.4",k_faction_sim,0.9,0.1,0.4,50,0.8115470359244445,1.030412565266067,0.5924225028702641,0.6944959888244685
"Name_cn_sim_Split_(0.9, 0.1)_K_50_Lambda_0.4",cn_sim,0.9,0.1,0.4,50,0.7829183875750949,0.9905070461651841,0.6052812858783009,0.704879088708805
"Name_k_faction_sim_Split_(0.9, 0.1)_K_50_Lambda_0.5",k_faction_sim,0.9,0.1,0.5,50,0.8126713207073221,1.0315484344921368,0.5921928817451206,0.6943983726318957
"Name_cn_sim_Split_(0.9, 0.1)_K_50_Lambda_0.5",cn_sim,0.9,0.1,0.5,50,0.7845815941697667,0.9922670748453045,0.6039035591274398,0.7035046422597315
"Name_KNN-Cosine_Split_(0.9, 0.1)_K_50",KNN-Cosine,0.9,0.1,N/A,50,0.7633548922621057,0.9657802259011188,0.6130884041331802,0.7120570338938671
"Name_KNN-Pearson_Split_(0.9, 0.1)_K_50",KNN-Pearson,0.9,0.1,N/A,50,0.750612008461847,0.9583372213682605,0.6163030998851895,0.7116672560227055
"Name_k_faction_sim_Split_(0.8, 0.2)_K_5_Lambda_0.1",k_faction_sim,0.8,0.2,0.1,5,0.8287328060095999,1.0554859847829339,0.6834594594594595,0.5073990987621928
"Name_cn_sim_Split_(0.8, 0.2)_K_5_Lambda_0.1",cn_sim,0.8,0.2,0.1,5,0.8054016654143232,1.0218409006478493,0.6880000000000001,0.5143463498074827
"Name_k_faction_sim_Split_(0.8, 0.2)_K_5_Lambda_0.2",k_faction_sim,0.8,0.2,0.2,5,0.8297333801932733,1.056529287687216,0.6825945945945947,0.5075592824345561
"Name_cn_sim_Split_(0.8, 0.2)_K_5_Lambda_0.2",cn_sim,0.8,0.2,0.2,5,0.806636040615347,1.022975781424317,0.6886486486486486,0.5128959130642043
"Name_k_faction_sim_Split_(0.8, 0.2)_K_5_Lambda_0.3",k_faction_sim,0.8,0.2,0.3,5,0.8314372392209062,1.0589037030159572,0.6778378378378378,0.5062087352745842
"Name_cn_sim_Split_(0.8, 0.2)_K_5_Lambda_0.3",cn_sim,0.8,0.2,0.3,5,0.8097768154264884,1.026264960445187,0.6845405405405406,0.5092747238536812
"Name_k_faction_sim_Split_(0.8, 0.2)_K_5_Lambda_0.4",k_faction_sim,0.8,0.2,0.4,5,0.8341371655791058,1.0603387566158247,0.6745945945945946,0.5043093354523137
